SpecimenID,Genus,Species,Family,Unnamed: 4
936,Pseudotsuga,menziesii,,
937,Pseudotsuga,menziesii,,
938,Tsuga,heterophylla,,
939,Tsuga,mertensiana,,
940,Larix,laricina,,
941,Larix,occidentalis,,
942,Talauma,ovata,,
943,Thuja,plicata,,
944,Betula,lenta,,
945,Lithocarpus,densiflorus,,
946,Quercus,lyrata,,
947,Castanea,dentata,,
948,Chrysolepis,chrysophylla,,
949,Ulmus,americana,,
950,Ulmus,americana,,
951,Fraxinus,nigra,,
952,Fraxinus,quadrangulata,,
953,Fraxinus,pennsylvanica,,
954,Fraxinus,tomentosa,,
955,Fraxinus,oregona,,
956,Populus,tremuloides,,
957,Populus,tremuloides,,
958,Populus,balsamifera,,
959,Salix,nigra,,
960,Populus,heterophylla,,
961,Betula,papyrifera,,
962,Robinia,pseudoacacia,,
963,Gleditsia,triacanthos,,
964,Gymnocladus,dioicus,,
965,Carya,tomentosa,,
966,Carya,ovata,,
967,Carya,cordiformis,,
968,Hamamelis,virginiana,,
969,Cornus,florida,,
970,Malus,sp.,,
